Name,Link
Mirpur University of Science and Technology,https://web.archive.org/reviews/14620.htm
Mohammad Ali Jinnah University,https://web.archive.org/reviews/3525.htm
Mohi-ud-Din Islamic University,https://web.archive.org/reviews/10827.htm
"Muhammad Nawaz Shareef University of Agriculture, Multan",https://web.archive.org/reviews/15173.htm
Muslim Youth University,https://web.archive.org/reviews/15190.htm
National College of Arts,https://web.archive.org/reviews/3527.htm
National College of Business Administration and Economics,https://web.archive.org/reviews/10817.htm
National Defence University,https://web.archive.org/reviews/10811.htm
National Textile University,https://web.archive.org/reviews/7240.htm
National University of Computer and Emerging Sciences,https://web.archive.org/reviews/3502.htm
National University of Modern Languages,https://web.archive.org/reviews/7221.htm
National University of Sciences and Technology,https://web.archive.org/reviews/3529.htm
Nazeer Hussain University,https://web.archive.org/reviews/15200.htm
NED University of Engineering and Technology,https://web.archive.org/reviews/3526.htm
Newports Institute of Communications and Economics,https://web.archive.org/reviews/10820.htm
Northern University,https://web.archive.org/reviews/7580.htm
Nur International University,https://web.archive.org/reviews/15194.htm
Pakistan Institute of Development Economics,https://web.archive.org/reviews/9609.htm
Pakistan Institute of Engineering and Applied Sciences,https://web.archive.org/reviews/7548.htm
Pakistan Institute of Fashion and Design,https://web.archive.org/reviews/14613.htm
Peoples University of Medical and Health Sciences for Women,https://web.archive.org/reviews/14614.htm
PIMSAT Institute of Higher Education,https://web.archive.org/reviews/14624.htm
Pir Mehr Ali Shah Arid Agriculture University,https://web.archive.org/reviews/3549.htm
Preston University,https://web.archive.org/reviews/15165.htm
Qarshi University,https://web.archive.org/reviews/15195.htm
"Quaid-e-Awam University of Engineering, Science and Technology",https://web.archive.org/reviews/7551.htm
Quaid-i-Azam University,https://web.archive.org/reviews/3538.htm
Qurtaba University,https://web.archive.org/reviews/3539.htm
Riphah International University,https://web.archive.org/reviews/9380.htm
Sardar Bahadur Khan Women's University,https://web.archive.org/reviews/7552.htm
Sarhad University of Science and Information Technology,https://web.archive.org/reviews/9382.htm
Shah Abdul Latif University,https://web.archive.org/reviews/3541.htm
Shaheed Benazir Bhutto City University,https://web.archive.org/reviews/15199.htm
Shaheed Benazir Bhutto University,https://web.archive.org/reviews/14618.htm
Shaheed Benazir Bhutto University Shaheed Benazirabad,https://web.archive.org/reviews/15178.htm
Shaheed Benazir Bhutto Women University,https://web.archive.org/reviews/14617.htm
Shaheed Mohtarma Benazir Bhutto Medical University,https://web.archive.org/reviews/14615.htm
Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology,https://web.archive.org/reviews/3542.htm
Shaheed Zulfiqar Ali Bhutto University of Law,https://web.archive.org/reviews/15179.htm
Shifa Tameer-e-Millat University,https://web.archive.org/reviews/15191.htm
Sindh Agriculture University,https://web.archive.org/reviews/3543.htm
Sindh Madresatul Islam University,https://web.archive.org/reviews/15177.htm
Sir Syed University of Engineering and Technology,https://web.archive.org/reviews/3544.htm
Sukkur Institute of Business Administration,https://web.archive.org/reviews/10819.htm
Superior Group of Colleges,https://web.archive.org/reviews/3540.htm
Textile Institute of Pakistan,https://web.archive.org/reviews/3546.htm
"The Government Sadiq College Women University, Bahawalpur",https://web.archive.org/reviews/15170.htm
The Institute of Management Sciences,https://web.archive.org/reviews/3530.htm
The Islamia University of Bahawalpur,https://web.archive.org/reviews/7254.htm
The University of Faisalabad,https://web.archive.org/reviews/3554.htm
The University of Lahore,https://web.archive.org/reviews/3557.htm
The University of Poonch,https://web.archive.org/reviews/15187.htm
"The Women University, Multan",https://web.archive.org/reviews/15174.htm
"University of Agriculture, Faisalabad",https://web.archive.org/reviews/3548.htm
University of Azad Jammu and Kashmir,https://web.archive.org/reviews/7279.htm
University of Balochistan,https://web.archive.org/reviews/3550.htm
University of Central Punjab,https://web.archive.org/reviews/10813.htm
University of Education,https://web.archive.org/reviews/7556.htm
"University of Engineering and Technology, Lahore",https://web.archive.org/reviews/3552.htm
"University of Engineering and Technology, Peshawar",https://web.archive.org/reviews/3551.htm
"University of Engineering and Technology, Taxila",https://web.archive.org/reviews/3553.htm
University of Gujrat,https://web.archive.org/reviews/7564.htm
University of Haripur,https://web.archive.org/reviews/15183.htm
"University of Health Sciences, Lahore",https://web.archive.org/reviews/7558.htm
University of Karachi,https://web.archive.org/reviews/3556.htm
University of Kotli Azad Jammu and Kashmir,https://web.archive.org/reviews/15189.htm
University of Loralai,https://web.archive.org/reviews/15186.htm
University of Malakand,https://web.archive.org/reviews/7559.htm
University of Management and Technology,https://web.archive.org/reviews/3558.htm
University of Peshawar,https://web.archive.org/reviews/3560.htm
University of Sargodha,https://web.archive.org/reviews/7560.htm
"University of Science and Technology, Bannu",https://web.archive.org/reviews/10826.htm
University of Sindh,https://web.archive.org/reviews/3561.htm
University of South Asia,https://web.archive.org/reviews/3562.htm
University of Swabi,https://web.archive.org/reviews/15184.htm
University of Swat,https://web.archive.org/reviews/14619.htm
University of the Punjab,https://web.archive.org/reviews/3564.htm
University of Turbat,https://web.archive.org/reviews/15185.htm
University of Veterinary and Animal Sciences,https://web.archive.org/reviews/3563.htm
University of Wah,https://web.archive.org/reviews/9711.htm
Women University of Azad Jammu and Kashmir Bagh,https://web.archive.org/reviews/15188.htm
Ziauddin University,https://web.archive.org/reviews/3565.htm
Add a University,https://web.archive.org/about/add.htm
